Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs; gross income ; Rating 
603-07-0961;C;Naypyitaw;Member;Male;Electronic accessories;74,79;5;18,6975;392,6475;01-10-2019;11:34:00;Cash;373,95; 18,70 ; 4,90 
241-11-2261;B;Mandalay;Normal;Female;Fashion accessories;79,86;7;27,951;586,971;01-10-2019;10:33:00;Credit card;559,02; 27,95 ; 5,50 
887-42-0517;C;Naypyitaw;Normal;Female;Sports and travel;83,14;7;29,099;611,079;01-10-2019;10:31:00;Credit card;581,98; 29,10 ; 6,60 
226-34-0034;B;Mandalay;Normal;Female;Electronic accessories;13,78;4;2,756;57,876;01-10-2019;11:10:00;Ewallet;55,12; 2,76 ; 9,00 
577-34-7579;C;Naypyitaw;Member;Male;Food and beverages;50,49;9;22,7205;477,1305;01-10-2019;17:16:00;Cash;454,41; 22,72 ; 5,40 
669-54-1719;B;Mandalay;Member;Male;Electronic accessories;18,93;6;5,679;119,259;02-10-2019;12:45:00;Credit card;113,58; 5,68 ; 8,10 
162-48-8011;A;Yangon;Member;Female;Food and beverages;44,59;5;11,1475;234,0975;02-10-2019;15:10:00;Cash;222,95; 11,15 ; 8,50 
838-78-4295;C;Naypyitaw;Normal;Female;Health and beauty;33,47;2;3,347;70,287;02-10-2019;15:43:00;Ewallet;66,94; 3,35 ; 6,70 
695-51-0018;B;Mandalay;Normal;Female;Sports and travel;34,84;4;6,968;146,328;02-10-2019;18:36:00;Cash;139,36; 6,97 ; 7,40 
685-64-1609;A;Yangon;Member;Female;Fashion accessories;30,14;10;15,07;316,47;02-10-2019;12:28:00;Ewallet;301,4; 15,07 ; 9,20 
400-60-7251;A;Yangon;Normal;Male;Home and lifestyle;74,07;1;3,7035;77,7735;02-10-2019;12:50:00;Ewallet;74,07; 3,70 ; 9,90 
227-07-4446;C;Naypyitaw;Member;Female;Electronic accessories;78,13;10;39,065;820,365;02-10-2019;20:51:00;Cash;781,3; 39,07 ; 4,40 
378-07-7001;B;Mandalay;Member;Male;Electronic accessories;48,09;3;7,2135;151,4835;02-10-2019;18:23:00;Credit card;144,27; 7,21 ; 7,80 
559-98-9873;A;Yangon;Member;Female;Fashion accessories;53,65;7;18,7775;394,3275;02-10-2019;12:56:00;Ewallet;375,55; 18,78 ; 5,20 
196-01-2849;C;Naypyitaw;Member;Female;Fashion accessories;73,38;7;25,683;539,343;02-10-2019;13:56:00;Cash;513,66; 25,68 ; 9,50 
448-34-8700;B;Mandalay;Member;Male;Home and lifestyle;36,91;7;12,9185;271,2885;02-10-2019;13:51:00;Ewallet;258,37; 12,92 ; 6,70 
189-17-4241;A;Yangon;Normal;Female;Fashion accessories;87,67;2;8,767;184,107;03-10-2019;12:17:00;Credit card;175,34; 8,77 ; 7,70 
129-29-8530;A;Yangon;Member;Male;Sports and travel;62,62;5;15,655;328,755;03-10-2019;19:15:00;Ewallet;313,1; 15,66 ; 7,00 
668-90-8900;A;Yangon;Normal;Female;Home and lifestyle;93,69;7;32,7915;688,6215;03-10-2019;18:44:00;Credit card;655,83; 32,79 ; 4,50 
790-29-1172;B;Mandalay;Normal;Female;Food and beverages;57,34;3;8,601;180,621;03-10-2019;18:59:00;Credit card;172,02; 8,60 ; 7,90 
596-42-3999;B;Mandalay;Normal;Male;Food and beverages;18,22;7;6,377;133,917;03-10-2019;14:04:00;Credit card;127,54; 6,38 ; 6,60 
696-90-2548;A;Yangon;Normal;Male;Sports and travel;25,84;3;3,876;81,396;03-10-2019;18:55:00;Ewallet;77,52; 3,88 ; 6,60 
453-12-7053;C;Naypyitaw;Normal;Male;Fashion accessories;45,74;3;6,861;144,081;03-10-2019;17:38:00;Credit card;137,22; 6,86 ; 6,50 
239-48-4278;A;Yangon;Member;Male;Food and beverages;10,13;7;3,5455;74,4555;03-10-2019;19:35:00;Ewallet;70,91; 3,55 ; 8,30 
607-65-2441;C;Naypyitaw;Member;Male;Health and beauty;81,95;10;40,975;860,475;03-10-2019;12:39:00;Credit card;819,5; 40,98 ; 6,00 
246-55-6923;C;Naypyitaw;Member;Female;Home and lifestyle;35,79;9;16,1055;338,2155;03-10-2019;15:06:00;Credit card;322,11; 16,11 ; 5,10 
156-20-0370;B;Mandalay;Normal;Female;Electronic accessories;25,45;1;1,2725;26,7225;03-10-2019;18:10:00;Credit card;25,45; 1,27 ; 5,10 
745-74-0715;A;Yangon;Normal;Male;Electronic accessories;58,03;2;5,803;121,863;03-10-2019;20:46:00;Ewallet;116,06; 5,80 ; 8,80 
746-68-6593;C;Naypyitaw;Member;Female;Sports and travel;87,16;2;8,716;183,036;01-11-2019;14:29:00;Credit card;174,32; 8,72 ; 9,70 
478-06-7835;A;Yangon;Normal;Male;Fashion accessories;89,69;1;4,4845;94,1745;01-11-2019;11:20:00;Ewallet;89,69; 4,48 ; 4,90 
540-11-4336;A;Yangon;Normal;Male;Food and beverages;24,94;9;11,223;235,683;01-11-2019;16:49:00;Credit card;224,46; 11,22 ; 5,60 
289-15-7034;A;Yangon;Member;Male;Sports and travel;82,33;4;16,466;345,786;01-11-2019;10:37:00;Credit card;329,32; 16,47 ; 7,50 
732-67-5346;A;Yangon;Normal;Male;Food and beverages;13,79;5;3,4475;72,3975;01-11-2019;19:07:00;Credit card;68,95; 3,45 ; 7,80 
130-67-4723;A;Yangon;Member;Male;Food and beverages;48,5;6;14,55;305,55;01-11-2019;13:57:00;Ewallet;291; 14,55 ; 9,40 
592-46-1692;C;Naypyitaw;Member;Female;Food and beverages;36,77;7;12,8695;270,2595;01-11-2019;20:10:00;Cash;257,39; 12,87 ; 7,40 
406-46-7107;A;Yangon;Normal;Female;Home and lifestyle;96,52;6;28,956;608,076;01-11-2019;11:52:00;Cash;579,12; 28,96 ; 4,50 
796-12-2025;C;Naypyitaw;Normal;Male;Fashion accessories;62,12;10;31,06;652,26;02-11-2019;16:19:00;Cash;621,2; 31,06 ; 5,90 
284-34-9626;B;Mandalay;Normal;Female;Home and lifestyle;77,04;3;11,556;242,676;02-11-2019;10:39:00;Credit card;231,12; 11,56 ; 7,20 
418-02-5978;B;Mandalay;Normal;Female;Health and beauty;84,09;9;37,8405;794,6505;02-11-2019;10:54:00;Cash;756,81; 37,84 ; 8,00 
866-99-7614;C;Naypyitaw;Normal;Male;Food and beverages;89,2;10;44,6;936,6;02-11-2019;15:42:00;Credit card;892; 44,60 ; 4,40 
842-40-8179;B;Mandalay;Member;Female;Food and beverages;77,2;10;38,6;810,6;02-11-2019;10:38:00;Credit card;772; 38,60 ; 5,60 
534-53-3526;A;Yangon;Normal;Female;Sports and travel;94,76;4;18,952;397,992;02-11-2019;16:06:00;Ewallet;379,04; 18,95 ; 7,80 
401-09-4232;C;Naypyitaw;Member;Male;Home and lifestyle;86,69;5;21,6725;455,1225;02-11-2019;18:38:00;Ewallet;433,45; 21,67 ; 9,40 
531-56-4728;A;Yangon;Normal;Male;Home and lifestyle;80,08;3;12,012;252,252;02-11-2019;15:29:00;Cash;240,24; 12,01 ; 5,40 
656-95-9349;A;Yangon;Member;Female;Health and beauty;68,93;7;24,1255;506,6355;03-11-2019;11:03:00;Credit card;482,51; 24,13 ; 4,60 
319-50-3348;B;Mandalay;Normal;Female;Home and lifestyle;40,3;2;4,03;84,63;03-11-2019;15:30:00;Ewallet;80,6; 4,03 ; 4,40 
584-86-7256;C;Naypyitaw;Member;Male;Sports and travel;34,56;7;12,096;254,016;03-11-2019;16:07:00;Credit card;241,92; 12,10 ; 7,30 
891-58-8335;B;Mandalay;Member;Female;Sports and travel;29,61;7;10,3635;217,6335;03-11-2019;15:53:00;Cash;207,27; 10,36 ; 6,50 
721-86-6247;A;Yangon;Normal;Female;Home and lifestyle;63,42;8;25,368;532,728;03-11-2019;12:55:00;Ewallet;507,36; 25,37 ; 7,40 
448-81-5016;A;Yangon;Normal;Male;Health and beauty;59,77;2;5,977;125,517;03-11-2019;12:01:00;Credit card;119,54; 5,98 ; 5,80 
704-20-4138;C;Naypyitaw;Member;Female;Health and beauty;29,67;7;10,3845;218,0745;03-11-2019;18:58:00;Credit card;207,69; 10,38 ; 8,10 
689-16-9784;C;Naypyitaw;Normal;Male;Food and beverages;46,77;6;14,031;294,651;03-11-2019;13:37:00;Cash;280,62; 14,03 ; 6,00 
892-05-6689;A;Yangon;Normal;Female;Home and lifestyle;28,32;5;7,08;148,68;03-11-2019;13:28:00;Ewallet;141,6; 7,08 ; 6,20 
749-81-8133;A;Yangon;Normal;Female;Fashion accessories;94,67;4;18,934;397,614;03-11-2019;12:04:00;Cash;378,68; 18,93 ; 6,80 
214-30-2776;B;Mandalay;Member;Female;Electronic accessories;34,49;5;8,6225;181,0725;03-11-2019;19:44:00;Credit card;172,45; 8,62 ; 9,00 
381-20-0914;A;Yangon;Member;Female;Fashion accessories;20,01;9;9,0045;189,0945;01-12-2019;15:48:00;Credit card;180,09; 9,00 ; 5,70 
704-48-3927;A;Yangon;Member;Male;Electronic accessories;88,67;10;44,335;931,035;01-12-2019;14:50:00;Ewallet;886,7; 44,34 ; 7,30 
659-36-1684;C;Naypyitaw;Member;Male;Sports and travel;57,12;7;19,992;419,832;01-12-2019;12:02:00;Credit card;399,84; 19,99 ; 6,50 
848-07-1692;B;Mandalay;Normal;Female;Health and beauty;57,22;2;5,722;120,162;01-12-2019;17:13:00;Ewallet;114,44; 5,72 ; 8,30 
296-11-7041;B;Mandalay;Member;Female;Health and beauty;27,07;1;1,3535;28,4235;01-12-2019;20:07:00;Credit card;27,07; 1,35 ; 5,30 
647-50-1224;A;Yangon;Normal;Female;Fashion accessories;29,42;10;14,71;308,91;01-12-2019;16:23:00;Ewallet;294,2; 14,71 ; 8,90 
852-62-7105;B;Mandalay;Normal;Female;Fashion accessories;83,25;10;41,625;874,125;01-12-2019;11:25:00;Credit card;832,5; 41,63 ; 4,40 
751-41-9720;C;Naypyitaw;Normal;Male;Home and lifestyle;97,5;10;48,75;1023,75;01-12-2019;16:18:00;Ewallet;975; 48,75 ; 8,00 
197-77-7132;B;Mandalay;Member;Male;Electronic accessories;91,56;8;36,624;769,104;01-12-2019;18:22:00;Ewallet;732,48; 36,62 ; 6,00 
751-15-6198;B;Mandalay;Normal;Male;Sports and travel;23,01;6;6,903;144,963;01-12-2019;16:45:00;Ewallet;138,06; 6,90 ; 7,90 
533-66-5566;B;Mandalay;Normal;Female;Home and lifestyle;51,07;7;17,8745;375,3645;01-12-2019;11:42:00;Cash;357,49; 17,87 ; 7,00 
365-64-0515;A;Yangon;Normal;Female;Electronic accessories;46,95;5;11,7375;246,4875;02-12-2019;10:25:00;Ewallet;234,75; 11,74 ; 7,10 
549-03-9315;B;Mandalay;Normal;Male;Fashion accessories;94,87;8;37,948;796,908;02-12-2019;12:58:00;Ewallet;758,96; 37,95 ; 8,70 
305-18-3552;B;Mandalay;Member;Male;Home and lifestyle;60,38;10;30,19;633,99;02-12-2019;16:19:00;Cash;603,8; 30,19 ; 6,00 
287-83-1405;A;Yangon;Normal;Male;Health and beauty;25,43;6;7,629;160,209;02-12-2019;19:01:00;Ewallet;152,58; 7,63 ; 7,00 
641-51-2661;C;Naypyitaw;Member;Female;Food and beverages;87,1;10;43,55;914,55;02-12-2019;14:45:00;Credit card;871; 43,55 ; 9,90 
528-87-5606;B;Mandalay;Member;Female;Electronic accessories;39,48;1;1,974;41,454;02-12-2019;19:43:00;Cash;39,48; 1,97 ; 6,50 
373-14-0504;A;Yangon;Member;Female;Sports and travel;71,63;2;7,163;150,423;02-12-2019;14:33:00;Ewallet;143,26; 7,16 ; 8,80 
885-56-0389;C;Naypyitaw;Member;Male;Fashion accessories;52,35;1;2,6175;54,9675;02-12-2019;17:49:00;Cash;52,35; 2,62 ; 4,00 
120-06-4233;C;Naypyitaw;Normal;Male;Electronic accessories;30,61;6;9,183;192,843;03-12-2019;20:36:00;Cash;183,66; 9,18 ; 9,30 
152-08-9985;B;Mandalay;Member;Male;Health and beauty;64,36;9;28,962;608,202;03-12-2019;12:09:00;Credit card;579,24; 28,96 ; 8,60 
699-01-4164;C;Naypyitaw;Normal;Male;Health and beauty;41,5;4;8,3;174,3;03-12-2019;19:58:00;Credit card;166; 8,30 ; 8,20 
545-46-3100;B;Mandalay;Member;Female;Electronic accessories;10,59;3;1,5885;33,3585;03-12-2019;13:52:00;Credit card;31,77; 1,59 ; 8,70 
253-12-6086;A;Yangon;Member;Female;Sports and travel;98,4;7;34,44;723,24;03-12-2019;12:43:00;Credit card;688,8; 34,44 ; 8,70 
565-17-3836;A;Yangon;Member;Female;Health and beauty;47,67;4;9,534;200,214;03-12-2019;14:21:00;Cash;190,68; 9,53 ; 9,10 
573-10-3877;B;Mandalay;Member;Male;Health and beauty;39,01;1;1,9505;40,9605;03-12-2019;16:46:00;Credit card;39,01; 1,95 ; 4,70 
276-54-0879;B;Mandalay;Normal;Male;Sports and travel;97,74;4;19,548;410,508;03-12-2019;19:53:00;Ewallet;390,96; 19,55 ; 6,40 
719-76-3868;C;Naypyitaw;Member;Male;Food and beverages;94,26;4;18,852;395,892;03-12-2019;16:30:00;Cash;377,04; 18,85 ; 8,60 
651-61-0874;C;Naypyitaw;Normal;Male;Home and lifestyle;46,22;4;9,244;194,124;03-12-2019;20:04:00;Credit card;184,88; 9,24 ; 6,20 
266-20-6657;C;Naypyitaw;Member;Male;Food and beverages;55,04;7;19,264;404,544;03-12-2019;19:39:00;Ewallet;385,28; 19,26 ; 5,20 
427-45-9297;B;Mandalay;Member;Female;Home and lifestyle;40,73;7;14,2555;299,3655;03-12-2019;11:01:00;Ewallet;285,11; 14,26 ; 5,40 
732-94-0499;C;Naypyitaw;Normal;Female;Electronic accessories;41,65;10;20,825;437,325;13-01-2019;17:04:00;Credit card;416,5; 20,83 ; 5,40 
556-86-3144;C;Naypyitaw;Member;Female;Fashion accessories;74,29;1;3,7145;78,0045;13-01-2019;19:30:00;Cash;74,29; 3,71 ; 5,00 
459-50-7686;A;Yangon;Normal;Female;Electronic accessories;23,46;6;7,038;147,798;13-01-2019;19:14:00;Ewallet;140,76; 7,04 ; 6,40 
339-38-9982;B;Mandalay;Member;Male;Fashion accessories;59,86;2;5,986;125,706;13-01-2019;14:55:00;Ewallet;119,72; 5,99 ; 6,70 
355-34-6244;B;Mandalay;Normal;Male;Food and beverages;72,39;2;7,239;152,019;13-01-2019;19:55:00;Credit card;144,78; 7,24 ; 8,10 
327-40-9673;B;Mandalay;Member;Male;Sports and travel;72,6;6;21,78;457,38;13-01-2019;19:51:00;Cash;435,6; 21,78 ; 6,90 
460-93-5834;A;Yangon;Normal;Male;Sports and travel;45,58;7;15,953;335,013;13-01-2019;10:03:00;Cash;319,06; 15,95 ; 5,00 
397-25-8725;A;Yangon;Member;Female;Health and beauty;39,62;9;17,829;374,409;13-01-2019;17:54:00;Credit card;356,58; 17,83 ; 6,80 
784-08-0310;C;Naypyitaw;Member;Female;Food and beverages;21,04;4;4,208;88,368;13-01-2019;13:58:00;Cash;84,16; 4,21 ; 7,60 
195-06-0432;A;Yangon;Member;Male;Home and lifestyle;81,01;3;12,1515;255,1815;13-01-2019;12:55:00;Credit card;243,03; 12,15 ; 9,30 
139-52-2867;C;Naypyitaw;Normal;Female;Fashion accessories;22,51;7;7,8785;165,4485;13-02-2019;10:50:00;Credit card;157,57; 7,88 ; 4,80 
151-16-1484;A;Yangon;Member;Male;Electronic accessories;32,25;4;6,45;135,45;13-02-2019;12:38:00;Ewallet;129; 6,45 ; 6,50 
563-36-9814;A;Yangon;Member;Male;Electronic accessories;76,82;1;3,841;80,661;13-02-2019;18:27:00;Ewallet;76,82; 3,84 ; 7,20 
767-54-1907;B;Mandalay;Member;Female;Fashion accessories;29,56;5;7,39;155,19;13-02-2019;16:59:00;Cash;147,8; 7,39 ; 6,90 
173-50-1108;B;Mandalay;Member;Female;Sports and travel;20,18;4;4,036;84,756;13-02-2019;12:14:00;Credit card;80,72; 4,04 ; 5,00 
339-18-7061;C;Naypyitaw;Member;Female;Fashion accessories;92,98;2;9,298;195,258;13-02-2019;15:06:00;Credit card;185,96; 9,30 ; 8,00 
388-76-2555;B;Mandalay;Normal;Male;Sports and travel;13,69;6;4,107;86,247;13-02-2019;13:59:00;Cash;82,14; 4,11 ; 6,30 
549-23-9016;C;Naypyitaw;Member;Female;Food and beverages;14,87;2;1,487;31,227;13-02-2019;18:15:00;Credit card;29,74; 1,49 ; 8,90 
877-22-3308;A;Yangon;Member;Male;Health and beauty;15,87;10;7,935;166,635;13-03-2019;16:40:00;Cash;158,7; 7,94 ; 5,80 
336-78-2147;C;Naypyitaw;Member;Male;Home and lifestyle;63,91;8;25,564;536,844;13-03-2019;19:52:00;Credit card;511,28; 25,56 ; 4,60 
101-17-6199;A;Yangon;Normal;Male;Food and beverages;45,79;7;16,0265;336,5565;13-03-2019;19:44:00;Credit card;320,53; 16,03 ; 7,00 
655-85-5130;B;Mandalay;Member;Female;Fashion accessories;38,3;4;7,66;160,86;13-03-2019;19:22:00;Cash;153,2; 7,66 ; 5,70 
585-03-5943;B;Mandalay;Normal;Male;Health and beauty;18,11;10;9,055;190,155;13-03-2019;11:46:00;Ewallet;181,1; 9,06 ; 5,90 
316-01-3952;A;Yangon;Normal;Female;Food and beverages;54,27;5;13,5675;284,9175;13-03-2019;14:16:00;Ewallet;271,35; 13,57 ; 4,60 
686-41-0932;B;Mandalay;Normal;Female;Fashion accessories;34,7;2;3,47;72,87;13-03-2019;19:48:00;Ewallet;69,4; 3,47 ; 8,20 
173-57-2300;C;Naypyitaw;Member;Male;Sports and travel;72,88;2;7,288;153,048;13-03-2019;12:51:00;Cash;145,76; 7,29 ; 6,10 
584-66-4073;C;Naypyitaw;Normal;Male;Fashion accessories;56,5;1;2,825;59,325;13-03-2019;15:45:00;Ewallet;56,5; 2,83 ; 9,60 
137-74-8729;C;Naypyitaw;Normal;Female;Fashion accessories;12,19;8;4,876;102,396;13-03-2019;12:47:00;Ewallet;97,52; 4,88 ; 6,80 
426-39-2418;C;Naypyitaw;Normal;Male;Electronic accessories;61,41;7;21,4935;451,3635;14-01-2019;10:02:00;Cash;429,87; 21,49 ; 9,80 
785-13-7708;B;Mandalay;Normal;Male;Food and beverages;73,06;7;25,571;536,991;14-01-2019;19:06:00;Credit card;511,42; 25,57 ; 4,20 
667-23-5919;A;Yangon;Member;Female;Fashion accessories;96,7;5;24,175;507,675;14-01-2019;12:52:00;Ewallet;483,5; 24,18 ; 7,00 
868-52-7573;B;Mandalay;Normal;Female;Food and beverages;99,69;5;24,9225;523,3725;14-01-2019;12:09:00;Cash;498,45; 24,92 ; 9,90 
592-34-6155;C;Naypyitaw;Normal;Male;Food and beverages;31,77;4;6,354;133,434;14-01-2019;14:43:00;Ewallet;127,08; 6,35 ; 6,20 
359-90-3665;B;Mandalay;Member;Female;Fashion accessories;18,08;4;3,616;75,936;14-01-2019;18:03:00;Credit card;72,32; 3,62 ; 9,50 
588-47-8641;A;Yangon;Member;Male;Fashion accessories;56,04;10;28,02;588,42;14-01-2019;19:30:00;Ewallet;560,4; 28,02 ; 4,40 
320-85-2052;B;Mandalay;Normal;Female;Sports and travel;34,81;1;1,7405;36,5505;14-01-2019;10:11:00;Credit card;34,81; 1,74 ; 7,00 
451-73-2711;C;Naypyitaw;Normal;Male;Food and beverages;84,83;1;4,2415;89,0715;14-01-2019;15:20:00;Ewallet;84,83; 4,24 ; 8,80 
704-10-4056;C;Naypyitaw;Member;Male;Health and beauty;60,47;3;9,0705;190,4805;14-01-2019;10:55:00;Credit card;181,41; 9,07 ; 5,60 
559-61-5987;B;Mandalay;Normal;Female;Health and beauty;17,75;1;0,8875;18,6375;14-01-2019;10:38:00;Cash;17,75; 0,89 ; 8,60 
658-66-3967;C;Naypyitaw;Normal;Male;Health and beauty;53,19;7;18,6165;390,9465;14-01-2019;15:42:00;Ewallet;372,33; 18,62 ; 5,00 
377-79-7592;C;Naypyitaw;Member;Female;Electronic accessories;44,84;9;20,178;423,738;14-01-2019;14:00:00;Credit card;403,56; 20,18 ; 7,50 
853-23-2453;B;Mandalay;Member;Male;Health and beauty;75,74;4;15,148;318,108;14-02-2019;14:35:00;Cash;302,96; 15,15 ; 7,60 
638-60-7125;A;Yangon;Normal;Female;Electronic accessories;99,56;8;39,824;836,304;14-02-2019;17:03:00;Credit card;796,48; 39,82 ; 5,20 
174-36-3675;C;Naypyitaw;Member;Male;Food and beverages;99,37;2;9,937;208,677;14-02-2019;17:29:00;Cash;198,74; 9,94 ; 5,20 
150-89-8043;A;Yangon;Normal;Male;Sports and travel;44,65;3;6,6975;140,6475;14-02-2019;15:04:00;Cash;133,95; 6,70 ; 6,20 
235-46-8343;C;Naypyitaw;Member;Male;Food and beverages;27,66;10;13,83;290,43;14-02-2019;11:26:00;Credit card;276,6; 13,83 ; 8,90 
109-86-4363;B;Mandalay;Member;Female;Sports and travel;60,08;7;21,028;441,588;14-02-2019;11:36:00;Credit card;420,56; 21,03 ; 4,50 
528-14-9470;A;Yangon;Member;Male;Health and beauty;91,3;1;4,565;95,865;14-02-2019;14:42:00;Ewallet;91,3; 4,57 ; 9,20 
545-07-8534;C;Naypyitaw;Normal;Female;Health and beauty;58,32;2;5,832;122,472;14-02-2019;12:42:00;Ewallet;116,64; 5,83 ; 6,00 
808-65-0703;C;Naypyitaw;Normal;Male;Home and lifestyle;35,47;4;7,094;148,974;14-03-2019;17:22:00;Credit card;141,88; 7,09 ; 6,90 
558-80-4082;C;Naypyitaw;Normal;Male;Electronic accessories;27,85;7;9,7475;204,6975;14-03-2019;17:20:00;Ewallet;194,95; 9,75 ; 6,00 
442-48-3607;A;Yangon;Member;Male;Food and beverages;23,48;2;2,348;49,308;14-03-2019;11:21:00;Credit card;46,96; 2,35 ; 7,90 
115-99-4379;B;Mandalay;Member;Female;Fashion accessories;54,73;7;19,1555;402,2655;14-03-2019;19:02:00;Credit card;383,11; 19,16 ; 8,50 
122-61-9553;C;Naypyitaw;Normal;Female;Electronic accessories;51,32;9;23,094;484,974;14-03-2019;19:33:00;Cash;461,88; 23,09 ; 5,60 
730-70-9830;C;Naypyitaw;Normal;Female;Home and lifestyle;70,11;6;21,033;441,693;14-03-2019;17:54:00;Ewallet;420,66; 21,03 ; 5,20 
189-52-0236;A;Yangon;Normal;Male;Electronic accessories;99,55;7;34,8425;731,6925;14-03-2019;12:07:00;Cash;696,85; 34,84 ; 7,60 
174-75-0888;B;Mandalay;Normal;Male;Electronic accessories;21,58;9;9,711;203,931;14-03-2019;12:32:00;Cash;194,22; 9,71 ; 7,30 
