KundeID,Firmanavn,Adresse,Land
147,Bruun ApS,"Tudsemindevej 3
4850 Hadsund",Denmark
148,Lund & Søn A/S,"Dybendalsstræde 781
6903 Solrød Strand",Denmark
149,Karlsen & Søn ApS,"Krogagervej 68
3121 Rønnede",Denmark
150,Thorsen & Laursen ApS,"Haraldstedgade 437
5817 Jystrup",Denmark
151,Eriksen ApS,"Pindosstræde 147
7767 Gudbjerg",Denmark
152,Christiansen A/S,"Brohusvej 5
7661 Holeby",Denmark
153,Steffensen & Søn ApS,"Selsøstræde 25
2387 Odense",Denmark
154,Nilsson & Søn ApS,"Reventlowsstræde 686
6000 Ranum",Denmark
155,Andersen & Søn ApS,"Bryggervej 95
6849 Tappernøje",Denmark
156,Ravn ApS,"Bispebjerg Allé 93
3536 Bækmarksbro",Denmark
157,Jessen & Nielsen A/S,"Våningsvej 6
8255 Hvidovre",Denmark
158,Johnsen & Søn ApS,"Øselsgade 51
3307 Uldum",Denmark
159,Svendsen A/S,"Hveensvej 31
5999 Rørvig",Denmark
160,Paulsen & Madsen A/S,"Katrinedalsstræde 5
7155 Store Merløse",Denmark
161,Thorsen A/S,"Præstemarksgade 306
4429 Rødvig Stevns",Denmark
162,Overgaard A/S,"Aberdeenstræde 75
3057 Sørvad",Denmark
163,Danielsen ApS,"Svankærgade 489
4650 Vallensbæk",Denmark
164,Schultz & Vestergaard ApS,"Leifsvej 9
4927 Allingåbro",Denmark
165,Olesen & Søn A/S,"Blåmejsestræde 25
3364 Spenstrup",Denmark
166,Iversen A/S,"Sternberggade 28
9356 Roskilde",Denmark
167,Simonsen & Søn ApS,"Nybrovej 2
3612 Bagenkop",Denmark
168,Koch & Jacobsen A/S,"Beethovensvej 4
7248 Egtved",Denmark
169,Schmidt A/S,"Annebergvej 9
8606 Langå",Denmark
170,Frandsen & Hansen ApS,"Egevej 523
9968 Marslev",Denmark
171,Larsen & Danielsen ApS,"Ravneholmsgade 27
3920 Søborg",Denmark
172,Lind A/S,"Tværagergade 8
2766 Ishøj",Denmark
173,Karlsen A/S,"Ravennavej 45
4716 Rødvig Stevns",Denmark
174,Mikkelsen A/S,"Bjernedevej 8
2582 Hirtshals",Denmark
175,Sørensen & Søn ApS,"Væbnerstræde 58
1976 Sindal",Denmark
176,Nilsson & Søn A/S,"Ferskenvej 54
9749 Kruså",Denmark
177,Toft & Søn ApS,"Fehmernsstræde 7
8306 Solrød Strand",Denmark
178,Klausen ApS,"Asylvej 95
2322 Søndersø",Denmark
179,Olesen & Henriksen ApS,"Vestmannastræde 125
7910 Tinglev",Denmark
180,Paulsen & Søn ApS,"Belgiensvej 4
2331 Vig",Denmark
181,Mikkelsen ApS,"Siljanvej 45
4234 Fjerritslev",Denmark
182,Bertelsen ApS,"Thyrasgade 922
2960 Egtved",Denmark
183,Holst A/S,"Frederiksbergvej 8
7159 Ans by",Denmark
184,Kjær ApS,"Tingskrivergade 9
1422 Svendborg",Denmark
185,Bach & Dam ApS,"Nannasgade 525
2905 Tisvildeleje",Denmark
186,Carlsen & Søn A/S,"Burmeistersvej 4
5762 Stenderup",Denmark
187,Jepsen A/S,"Bernstorffsvej 893
1161 Karby",Denmark
188,Ravn A/S,"Tjæreby Allé 3
5136 Korsør",Denmark
189,Christoffersen & Søn ApS,"Trekløvervej 1
4733 Nykøbing M",Denmark
190,Svendsen & Søn ApS,"Krokodille Allé 4
2005 Hornslet",Denmark
191,Carlsen & Søn A/S,"Tovelillevej 422
5278 Hjortshøj",Denmark
192,Andreasen ApS,"Tagensvej 509
4829 Dalby",Denmark
193,Jacobsen A/S,"Bohrsgade 39
7894 Liseleje",Denmark
194,Thomsen & Simonsen ApS,"Egils Allé 633
8502 Anholt",Denmark
195,Petersen & Søn A/S,"Grevingevej 1
8788 Redsted",Denmark
196,Jessen & Søn ApS,"Beethovensvej 30
5775 Outrup",Denmark
197,Brandt ApS,"Allersgade 29
3126 Odder",Denmark
198,Kjær ApS,"Emblasvej 6
3859 Barrit",Denmark
199,Steffensen & Johansen ApS,"Slotsherrensvej 222
9653 Kolding",Denmark
200,Karlsen A/S,"Ullerup Allé 675
2150 Bogense",Denmark
201,Laursen ApS,"Spaniensvej 5
3246 Errindlev",Denmark
202,Henriksen ApS,"Jægergade 4
1306 Stenstrup",Denmark
203,Danielsen A/S,"Bredahls Allé 634
8732 Fur",Denmark
204,Bech & Laursen A/S,"Stavangervej 66
7601 Vils",Denmark
205,Bruun ApS,"Tudsemindevej 3
4850 Hadsund",Denmark
206,Nørgaard & Søn ApS,"Solitudevej 87
4532 Glumsø",Denmark
207,Vestergaard & Bertelsen ApS,"Biens Allé 467
5141 Hejls",Denmark
208,Nilsson & Nielsen ApS,"Kongshøjvej 330
8322 Horbelev",Denmark
209,Friis & Søn ApS,"Hansstedvej 75
1273 Grevinge",Denmark
210,Rasmussen A/S,"Veksøstræde 43
1642 Frederiksværk",Denmark
211,Larsen AS,"Holmalléen 8, 4859 Malinvik",Norway
212,Strøm-Kristiansen,"Danielsenskogen 76B, 7293 Bjørndal",Norway
213,Gundersen Gruppen,"Jenssenekra 27, 2002 Roarfoss",Norway
214,Berg & co.,"Hanssenhaugen 6, 3569 Hagen",Norway
215,Pettersen BA,"Jakobsenvollen 9, 8595 Simendal",Norway
216,Jensen Gruppen,"Brekkespranget 41C, 2117 Evaborg",Norway
217,"Jenssen, Lie og Tveit","Arnesenåsen 39E, 9439 Alexandergrunn",Norway
218,Kristiansen BA,"Jørgensenhagen 551, 6385 Ellingsen",Norway
219,"Danielsen, Lunde og Kristensen","Johansenmarka 4, 7172 Steinarborg",Norway
220,Bøe-Bøe,"Berntsengropa 4, 3428 Hansby",Norway
221,Paulsen-Nguyen AS,"Jacobsentoppen 6, 1720 Sirifjell",Norway
222,Simonsen og Sønner,"Holmholtet 9, 6974 Eriksen",Norway
223,Eriksen & co.,"Simonsenhagen 5, 2232 Wenchesjøen",Norway
224,Hauge-Kristiansen BA,"Larsenmoen 2, 9745 Mariberg",Norway
225,Berge & co.,"Moevollen 84, 8486 Vildefjell",Norway
226,Berge-Lie,"Tveithøgda 7, 6764 Grethevåg",Norway
227,Bakken Gruppen,"Holmekra 2, 7565 Johannesfjell",Norway
228,Johnsen-Halvorsen,"Strandtunet 2, 3335 Mathisen",Norway
229,Brekke-Haug AS,"Næssskrenten 22, 8728 Frankby",Norway
230,Ali AS,"Danielsenringen 5, 9638 Håkonsand",Norway
231,Eide Gruppen,"Nguyenvollen 6, 2079 Tobiasøy",Norway
232,"Paulsen, Johnsen og Helland","Johnsenvika 9, 8994 Sofievik",Norway
233,Kristoffersen-Johannessen,"Sivertsengata 693, 9248 Abrahamsen",Norway
234,Solberg-Kristensen,"Hagentunet 21A, 7299 Bakken",Norway
235,Martinsen-Hanssen,"Arnesenalléen 636, 9750 Thomashavn",Norway
236,"Ellingsen, Aune og Tveit","Andreassenmyra 3, 5927 Gundersen",Norway
237,"Johansen, Gundersen og Amundsen","Olsengropa 9, 0932 Ninastad",Norway
238,Lunde-Haugland RFH,"Nguyenplassen 7B, 9008 Kennethbø",Norway
239,Haugland-Iversen,"Lienberget 5, 6010 Larsen",Norway
240,"Hauge, Danielsen og Strand","Myklebusthagen 45, 2384 Livsand",Norway
241,Haug-Rønning RFH,"Gundersentoppen 27C, 8493 Ødegård",Norway
242,Solheim-Abrahamsen & co.,"Sivertsenhagen 5, 4428 Pålstrøm",Norway
243,"Isaksen, Antonsen og Nielsen","Christensenberget 20, 4437 Nygård",Norway
244,Gulbrandsen og Sønner,"Holmspranget 7E, 8670 Næss",Norway
245,Hauge-Hauge & co.,"Larsengjerdet 6, 2990 Pedersen",Norway
246,Sivertsen-Isaksen ASA,"Paulsenplassen 6, 8930 Dahl",Norway
247,Ellingsen og Sønner,"Andresenvika 7C, 9259 Kristensen",Norway
248,Ahmed-Pettersen & co.,"Andersenalléen 4, 9784 Kristensen",Norway
249,"Lunde, Myhre og Fredriksen","Hanssenskrenten 7, 6295 Andreassen",Norway
250,Bakke-Aasen og Sønner,"Simonsenskrenten 5, 8561 Knutfjell",Norway
251,Sivertsen-Jacobsen,"Sivertsenlia 4, 0969 Mettestrøm",Norway
252,Jenssen-Gundersen,"Thomassenalléen 31, 5542 Ruud",Norway
253,Sæther-Aasen,"Jørgensengropa 98D, 0653 Karlsjøen",Norway
254,Berntsen & co.,"Larsenstubben 8, 1991 Sandvik",Norway
255,Thomassen Gruppen,"Kristiansenalléen 9, 4328 Adrianfjell",Norway
256,Amundsen-Arnesen,"Hanssengata 8B, 6988 Myklebust",Norway
257,Holm-Arnesen AS,"Jensenlunden 7B, 6857 Perhelle",Norway
258,Kristiansen-Lunde AS,"Holmhavna 7, 2603 Tonjevik",Norway
259,Vik Gruppen,"Birkelandhaugen 8, 9171 Unniås",Norway
260,Sørensen-Holm og Sønner,"Hauglandhaugen 4, 4210 Iversen",Norway
261,Kristensen-Lie AS,"Karlsenekra 92, 2966 Leneøy",Norway
262,Jenssen ASA,"Mikkelsenlyngen 8, 6020 Magnestrand",Norway
263,Henriksen ASA,"Moebråten 87, 3942 Johansen",Norway
264,Ali-Holm,"Hellandringen 3, 4257 Nilsen",Norway
265,Svendsen-Christensen & co.,"Hanssenjordet 76, 3588 Jakobsen",Norway
266,Andreassen Gruppen,"Ellingsenåsen 6, 1830 Pedersen",Norway
267,"Lie, Hanssen og Iversen","Johannessenlia 42, 3595 Gunnarstrøm",Norway
268,Næss-Andreassen & co.,"Martinsenvollen 24, 9160 Steinarhamn",Norway
269,Nygård BA,"Antonseneggen 091, 4685 Egilfjord",Norway
270,Amundsen & co.,"Vikjordet 6, 3599 Aasen",Norway
271,Haugland & co.,"Knutsenplassen 04, 9205 Livnes",Norway
272,"Ødegård, Haug og Ali","Tveitmarka 6, 9258 Solberg",Norway
273,Johannessen RFH,"Knudsenekra 99B, 3987 Engen",Norway
274,Karlsen Gruppen,"Halvorsenrøa 880, 5040 Siljestrøm",Norway
275,Myklebust & co.,"Danielsenstubben 13, 3182 Dahl",Norway
276,Myklebust Gruppen,"Bakkevollen 6, 6483 Sigridsjøen",Norway
277,Gundersen RFH,"Aasenstykket 4E, 8821 Alfgrunn",Norway
278,Bakke Gruppen,"Jensenmoen 01, 0219 Isaksen",Norway
279,"Solberg, Johnsen og Halvorsen","Jacobsensvingen 3A, 8442 Henriksen",Norway
280,"Andersen, Johansen og Birkeland","Aasplassen 4, 8914 Vildeodden",Norway
281,Dahl Gruppen,"Pedersentjernet 25, 7315 Jakobsen",Norway
282,Bakken Gruppen,"Holmekra 2, 7565 Johannesfjell",Norway
283,Andersen-Abrahamsen AS,"Fredriksenplassen 833, 4762 Oddfoss",Norway
284,Jenssen-Nielsen,"Eidegjerdet 3, 0771 Heidieid",Norway
285,Johnsen-Ali,"Kristensenhaugen 1, 4081 Berntsen",Norway
286,Christensen-Kristensen ASA,"Bergmyra 6, 8496 Vildedal",Norway
287,Tveit AS,"Andreassenløkka 03, 2217 Johannessen",Norway
288,Jensen ASA,"Karlsenberget 4, 7188 Rønning",Norway
289,Johansen AS,"Ahmedhøgda 77, 3855 Strøm",Norway
290,"Antonsen, Martinsen og Henriksen","Kristoffersenvika 07, 9278 Alfhamn",Norway
291,Andresen og Sønner,"Hansentjernet 826, 0586 Åsefjell",Norway
292,Rønning og Sønner,"Thomassenfaret 8B, 4398 Runesund",Norway
293,Rønning-Helland og Sønner,"Aasenflata 7, 4966 Frankodden",Norway
294,"Knutsen, Aas og Aas","Eliassentoppen 4, 3556 Berntsen",Norway
295,Andreassen-Berge,"Solberggjerdet 3B, 5794 Martineid",Norway
296,Nguyen-Bakken RFH,"Haughaugen 42, 2448 Bjørnberg",Norway
297,Ruud & co.,"Mikkelsentoppen 9B, 8958 Fredrikvær",Norway
298,"Svendsen, Rønning og Johnsen","Edvardsentjernet 7H, 3361 Lindasund",Norway
299,Jensen Gruppen,"Lundhagen 74B, 4078 Karlhamn",Norway
300,Lund RFH,"Myklebustberget 98B, 9702 Andersen",Norway
301,Jensen-Halvorsen,"Jenssenhavna 11, 5086 Antonsen",Norway
302,"Ødegård, Moe og Madsen","Andreassensvingen 7, 5650 Marenfjord",Norway
303,Madsen-Paulsen BA,"Nielsenkollen 157, 9469 Svendsen",Norway
304,Strøm Gruppen,"Andreassenskrenten 546, 7061 Karolineeid",Norway
305,Pettersen Gruppen,"Lundeberget 6, 5905 Helgemark",Norway
306,Berg RFH,"Danielsengjerdet 80, 3512 Håvardås",Norway
307,Hansen RFH,"Ahmedstranda 82, 4791 Monicaøy",Norway
308,Antonsen BA,"Nygårdhøgda 5, 3014 Pettersen",Norway
309,"Berg, Thomassen og Jenssen","Edvardsenmyra 4, 1350 Alfhavn",Norway
310,Jenssen og Sønner,"Nilsenvika 65E, 6101 Nygård",Norway
311,Næss-Tangen,"Auneringen 499, 0576 Bjørnøy",Norway
312,Hauge AS,"Andresenlyngen 3, 3749 Kristoffersen",Norway
313,Hagen Gruppen,"Kristensenstien 6, 1315 Jensås",Norway
314,Madsen ASA,"Thorsenskrenten 2, 9861 Lineås",Norway
315,Brekke-Aas RFH,"Nygårdstubben 5, 5547 Halvorsen",Norway
316,Solberg-Andresen,"Lundvika 2C, 2266 Andershelle",Norway
317,Aas og Sønner,"Dahllunden 3, 3300 Mikkelsen",Norway
318,"Eliassen, Næss og Jørgensen","Nygårdsvingen 331, 9272 Haug",Norway
319,Strøm RFH,"Paulsenhavna 1, 5111 Sørensen",Norway
320,Eliassen-Pettersen,"Myklebustskogen 29, 3103 Mikkelsen",Norway
321,Brekke BA,"Fredriksenåsen 06, 6460 Pedersen",Norway
322,Mathisen Gruppen,"Lundtjernet 21, 2644 Ninastad",Norway
323,Aune BA,"Moeekra 685, 7514 Thorstrand",Norway
324,Sørensen og Sønner,"Sivertsengrenda 3, 2869 Næss",Norway
325,Dahl-Sæther og Sønner,"Lieberget 4, 6613 Gromark",Norway
326,Aas og Sønner,"Gulbrandsenvollen 12, 0101 Fredrikøy",Norway
327,Hagen Gruppen,"Johnsenvika 24C, 3512 Ruud",Norway
328,"Danielsen, Ali og Jensen","Sandvikstykket 729, 0359 Myhre",Norway
329,Andersen-Lunde,"Haugenbråten 64, 0341 Henriksen",Norway
330,Johnsen RFH,"Moentunet 36, 4746 Berg",Norway
331,Helland ASA,"Halvorsenplassen 602, 0419 Gunnsand",Norway
332,Madsen ASA,"Kristiansenjordet 449, 7285 Arildmark",Norway
333,Gulbrandsen-Halvorsen RFH,"Bakkenalléen 2, 6075 Ødegård",Norway
334,Eliassen Gruppen,"Nielsenplassen 69B, 8891 Moen",Norway
335,Knudsen-Aasen RFH,"Berntsenkollen 912, 8992 Jenssen",Norway
336,Ahmed AS,"Andresenbråten 16E, 1129 Fredriksen",Norway
337,Lie Gruppen,"Jakobsenlyngen 1, 7494 Ali",Norway
338,"Sandvik, Antonsen og Jenssen","Aasentunet 25, 3265 Astridborg",Norway
339,Helland-Mathisen RFH,"Myklebustringen 995, 6741 Elsehamn",Norway
340,Johansen AS,"Rasmussenvollen 81E, 4839 Simenvik",Norway
341,Nygård-Aas AS,"Johnsenmyra 5C, 6305 Adrianberg",Norway
342,Brekke Gruppen,"Olsengata 2, 5680 Haugen",Norway
343,Bøe RFH,"Myklebustringen 590, 9121 Hildevær",Norway
344,"Berge, Johannessen og Johnsen","Bakkenkroken 36C, 4584 Synnøvestrøm",Norway
345,Jenssen & co.,"Auneåsen 8, 8038 Ingridmark",Norway
346,Kristensen-Eriksen,"Nygårdåsen 15, 3259 Sandvik",Norway
347,Hagen RFH,"Lundhagen 2, 4325 Beritfoss",Norway
348,Thomassen og Sønner,"Fredriksengrenda 6, 0200 Myklebust",Norway
349,"Ali, Haugen og Johansen","Andreassenmarka 8, 9329 Frodefoss",Norway
350,Abrahamsen AS,"Larsenringen 52G, 8158 Hanssen",Norway
351,Johansson HB,"Kvarntorget 750
73994 Skövde",Sweden
352,Eriksson Franzén AB,"Åkervägen 3
19207 Linköping",Sweden
353,Karlsson & Johansson AB,"Björkvägen 16
48950 Linköping",Sweden
354,Karlsson & Jonsson HB,"Aspvägen 0
44454 Malmö",Sweden
