KundeID,Firmanavn,Adresse,Postnummer,By,Antal medarbejder
K1070,Eliassen-Brekke Gruppen,"Christensenlyngen 8A, 9437 Mathisen",2826,Strand,105
K1071,Rantala Oyj,"Zaidankuja 68, 65046 Juva",30088,Pornainen,59
K1072,Jensen & Søn A/S,"Emdrupgårdsvej 8, 9108 Ebeltoft",5709,Greve,92
K1073,Pettersson Svensson HB,"Björkstigen 7, 42701 Lund",25690,Örebro,63
K1074,Tangen Gruppen,"Hansenkollen 87, 3333 Hegenes",8503,Christianvik,74
K1075,Ketola,"Salavakuja 1, 19916 Luhanka",49054,Jämijärvi,27
K1076,Johansen & Søn A/S,"Ballum Allé 681, 8834 Skagen",9632,Nørresundby,104
K1077,Svensson & Blom AB,"Parkgatan 390, 66905 Borlänge",84396,Trelleborg,29
K1078,Gulbrandsen Gruppen,"Nguyenmoen 06, 1836 Olavodden",0570,Øysteinsjøen,104
K1079,Lehtonen,"Tahtibulevardi 00, 67441 Lieto",14630,Uurainen,71
K1080,Olsen A/S,"Helgolandsvej 90, 1448 Skørping",4565,Tilst,57
K1081,Johansson & Ståhl AB,"Parkstigen 61, 49887 Umeå",18592,Lund,98
K1082,Simonsen-Halvorsen,"Thomassenhaugen 482, 6323 Johannessen",6269,Heidiø,117
K1083,Laurila Nyman Oyj,"Zaidanbulevardi 896, 84487 Kristiinankaupunki",58590,Merijärvi,104
K1084,Henriksen ApS,"Rørmosegade 720, 8371 Thorsø",9167,Broager,103
K1085,Lundström HB,"Kyrkovägen 01, 70966 Piteå",45582,Kristianstad,147
K1086,Fredriksen-Bøe,"Dahlstykket 9, 9233 Berg",6235,Sandvik,31
K1087,Heiskanen Rauhala Ky,"Elimäenpolku 793, 35982 Imatra",51328,Merijärvi,48
K1088,Rasmussen A/S,"Gørtlerstræde 59, 9529 Næstved",7933,Kirke Hyllinge,67
K1089,Andersson & Håkansson AB,"Ringgränd 091, 54097 Karlstad",46163,Borlänge,116
K1090,Kristoffersen og Sønner,"Johannessentoppen 4, 8721 Hauge",4059,Mariaby,108
K1091,Aho Hänninen Osk,"Ormusbulevardi 7, 53135 Karstula",02499,Rantasalmi,118
K1092,Thorsen ApS,"Trepkas Allé 634, 3194 Stenløse",4162,Nørre Snede,44
K1093,Johansson HB,"Fabriksgatan 791, 75047 Gävle",64602,Östersund,49
K1094,Thomassen-Tveit,"Solheimberget 00, 1662 Heidihamn",3305,Amundsen,81
K1095,Salminen,"Franzéninkatu 557, 78689 Lieksa",13063,Karijoki,136
K1096,Kjær & Schultz ApS,"Staldvej 673, 1799 Ringe",6181,Birkerød,55
K1097,Andersson Lind AB,"Ängsvägen 1, 40964 Mölndal",50952,Varberg,135
K1098,Edvardsen ASA,"Andreassengata 14C, 9452 Arnesen",7268,Gretesjøen,61
K1099,Tuominen Tmi,"Wallininbulevardi 936, 56067 Joutsa",89293,Seinäjoki,133
